ERROR:root:Error processing C:\Users\kanis\Desktop\chartered_final\manager\tmp\37f5f900-596e-4113-a4b2-64bb92c8a8b3.jpg: C:\Users\Asus\Downloads\Tesseract-OCR\Tesseract-OCR\tesseract.exe is not installed or it's not in your PATH. See README file for more information.
ERROR:root:Error processing C:\Users\kanis\Desktop\chartered_final\manager\tmp\d3f12c69-bcf4-4494-9609-395adb971603.jpg: [WinError 5] Access is denied
ERROR:root:Error processing C:\Users\kanis\Desktop\chartered_final\manager\tmp\a71a8210-37cb-422a-a7e6-c032b2282720.pdf: OpenCV(4.6.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\color.cpp:182: error: (-215:Assertion failed) !_src.empty() in function 'cv::cvtColor'

DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_ulrwwy72_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_ulrwwy72', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_72uqrv2a_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_72uqrv2a', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_vi3vq8b6_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_vi3vq8b6', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_p_eyzlyp_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_p_eyzlyp', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_k8q_2uad_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_k8q_2uad', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_3ldyd8h2_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_3ldyd8h2', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_gkzp3j27_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_gkzp3j27', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_nmrhndji_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_nmrhndji', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_xj02qf9s_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_xj02qf9s', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_971inklg_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_971inklg', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_5aslsv_y_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_5aslsv_y', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_etvdjwiw_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_etvdjwiw', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_w0k2wpiz_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_w0k2wpiz', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_s25224ju_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_s25224ju', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_bx7zwlt__input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_bx7zwlt_', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_p1vqgz1p_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_p1vqgz1p', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_qxyfercj_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_qxyfercj', '-l', 'eng', 'txt']
